Usia Anda,Jenis Kelamin,Jam Tidur Semalam,Seberapa Sibuk Anda Hari Ini (1-5),Seberapa Banyak Tugas/Pekerjaan (1-5),Seberapa Tertekan Anda (1-5),Suasana Hati Anda (1-5),Seberapa Sering Merasa Lelah Emosional (1-5),Seberapa Termotivasi Anda (1-5),Ceritakan Hari Anda Hari Ini
21 - 23 tahun,Perempuan,5,2,1,2,3,3,4,ngerjain hal yang aku suka bikin waktu cepet banget berlalu
21 - 23 tahun,Laki-laki,2,1,1,1,5,2,3,"hari ini fun banget, belajar sambil ketawa-ketawa sama temen"
18 - 20 tahun,Laki-laki,7,2,2,3,3,2,3,hari ini terasa panjang tapi ya udah dijalanin aja
21 - 23 tahun,Perempuan,5,3,2,2,4,2,4,"reconnect sama passion lama hari ini, bikin semangat lagi"
21 - 23 tahun,Perempuan,3,4,5,4,2,3,4,"ngerjain kewajiban, setelah itu ya sudah lah"
24 - 26 tahun,Laki-laki,9,5,4,5,1,4,3,"ngerasa sendiri padahal dikelilingin banyak orang, aneh banget"
24 - 26 tahun,Laki-laki,9,1,1,1,5,2,4,"ketemu temen lama, ngobrol sampe lupa waktu deh"
21 - 23 tahun,Perempuan,5,1,2,2,3,2,5,alhamdulillah hari ini lancar banget ga ada hambatan
18 - 20 tahun,Perempuan,12,5,4,5,1,4,1,"overwhelmed banget, kepala udah penuh mau meledak rasanya"
24 - 26 tahun,Perempuan,3,5,5,5,1,5,1,pengen kabur dari semua tanggung jawab ini sesaat aja
> 26 tahun,Laki-laki,4,2,1,2,5,3,3,dapet feedback positif yang bikin makin yakin sama diri sendiri
21 - 23 tahun,Laki-laki,6,2,1,2,4,1,4,"reconnect sama passion lama hari ini, bikin semangat lagi"
18 - 20 tahun,Laki-laki,9,4,5,4,2,4,3,"cape hati, bukan cape badan — itu yang paling melelahkan"
21 - 23 tahun,Laki-laki,9,1,2,2,3,2,5,"hari ini berasa ringan banget, kayak abis lepas beban"
18 - 20 tahun,Laki-laki,4,4,3,4,1,5,2,"semua hal kerasa berat dan susah hari ini, capek"
> 26 tahun,Laki-laki,7,1,2,2,5,2,5,"mood on fire dari pagi, semua kerasa ringan"
