Jam Tidur Semalam,Seberapa Sibuk Anda Hari Ini (1-5),Seberapa Banyak Tugas/Pekerjaan (1-5),Suasana Hati Anda (1-5),Ceritakan Hari Anda Hari Ini
5,2,1,3,ngerjain hal yang aku suka bikin waktu cepet banget berlalu
2,1,1,5,"hari ini fun banget, belajar sambil ketawa-ketawa sama temen"
7,2,2,3,hari ini terasa panjang tapi ya udah dijalanin aja
5,3,2,4,"reconnect sama passion lama hari ini, bikin semangat lagi"
3,4,5,2,"ngerjain kewajiban, setelah itu ya sudah lah"
9,5,4,1,"ngerasa sendiri padahal dikelilingin banyak orang, aneh banget"
9,1,1,5,"ketemu temen lama, ngobrol sampe lupa waktu deh"
5,1,2,3,alhamdulillah hari ini lancar banget ga ada hambatan
12,5,4,1,"overwhelmed banget, kepala udah penuh mau meledak rasanya"
3,5,5,1,pengen kabur dari semua tanggung jawab ini sesaat aja
4,2,1,5,dapet feedback positif yang bikin makin yakin sama diri sendiri
6,2,1,4,"reconnect sama passion lama hari ini, bikin semangat lagi"
9,4,5,2,"cape hati, bukan cape badan — itu yang paling melelahkan"
9,1,2,3,"hari ini berasa ringan banget, kayak abis lepas beban"
4,4,3,1,"semua hal kerasa berat dan susah hari ini, capek"
7,1,2,5,"mood on fire dari pagi, semua kerasa ringan"
7,5,4,1,"anxious dari pagi, banyak hal yang bikin khawatir"
9,3,2,3,"lumayan lah, ada naik turunnya tapi masih oke"
12,5,4,3,tugas beres tapi gak ngerasa puas atau kecewa
6,2,3,3,"ngerjain kewajiban, setelah itu ya sudah lah"
6,5,5,1,"semua orang kayak nyebelin hari ini, atau mungkin aku yang sensitif"
7,1,1,5,seneng bgt dapet nilai bagus pas ujian tadi
3,2,2,3,"happy banget hari ini, banyak hal baik terjadi"
7,2,2,3,"lunch enak, cuaca oke, tugas beres — hari sempurna"
6,1,2,5,semangat banget ngerjain tugas karena topiknya menarik bgt
4,2,1,4,"ketemu temen lama, ngobrol sampe lupa waktu deh"
10,4,5,1,"capek banget, tugas numpuk kayak ga ada habisnya"
9,2,2,4,ngerjain hal yang aku suka bikin waktu cepet banget berlalu
12,3,3,3,"gak banyak ngomong hari ini, lebih banyak mikir sendiri"
4,3,2,5,pagi tadi olahraga dulu jadinya badan enak banget
7,5,5,1,"susah fokus banget, pikiran lari kemana-mana terus"
9,4,3,1,"overwhelmed banget, kepala udah penuh mau meledak rasanya"
7,5,5,1,"badan oke tapi hati hancur, ga tau kenapa juga"
8,3,3,2,"half-half hari ini, sebagian menyenangkan sebagian meh"
3,2,3,3,"hari ini ngalir, gak ada yang perlu dilebih-lebihkan"
6,5,5,2,"capek banget, tugas numpuk kayak ga ada habisnya"
10,1,1,4,"hari ini fun banget, belajar sambil ketawa-ketawa sama temen"
5,3,2,3,"ya jalani aja, toh besok juga bakal ada hari baru"
3,4,4,2,"semua hal kerasa berat dan susah hari ini, capek"
8,5,4,1,"rasanya pengen pause semuanya, istirahat total dari dunia"
7,4,3,4,"hari ini ngalir, gak ada yang perlu dilebih-lebihkan"
8,3,4,3,"kesal sama diri sendiri, harusnya bisa lebih baik dari ini"
9,4,3,5,"bisa bantu temen yang lagi kesusahan, hati jadi hangat"
5,2,3,4,alhamdulillah hari ini lancar banget ga ada hambatan
6,2,1,5,"produktif parah hari ini, kayak mesin yang ga berhenti"
9,3,4,2,"semua orang kayak nyebelin hari ini, atau mungkin aku yang sensitif"
11,2,3,3,"hari ini chill tapi tetep produktif, perfect combo"
6,5,4,3,"overwhelmed banget, kepala udah penuh mau meledak rasanya"
10,5,5,2,"down parah hari ini, semangat nol besar"
8,3,4,3,"hari ini ngalir, gak ada yang perlu dilebih-lebihkan"
6,4,5,3,"mood jelek dari bangun tidur, dan terus gitu sampe malem"
8,2,3,2,"waktu terasa lambat, tapi akhirnya selesai juga hari ini"
6,5,5,1,"merasa gagal hari ini, padahal udah usaha sebisa mungkin"
9,2,3,4,"semuanya berjalan sesuai plan, langka tapi nyata hari ini"
11,2,3,3,"hari ini seger banget, semua tugas kelar on time"
7,1,1,5,"ngerasa hidup hari ini, bukan cuma ngejalanin rutinitas doang"
5,1,1,4,dapat apresiasi dari dosen bikin semangat dobel hari ini
10,1,1,5,"hari ini fun banget, belajar sambil ketawa-ketawa sama temen"
