Jam Tidur Semalam,Seberapa Sibuk Anda Hari Ini (1-5),Seberapa Banyak Tugas/Pekerjaan (1-5),Suasana Hati Anda (1-5),Ceritakan Hari Anda Hari Ini,prob_anger,prob_anticipation,prob_disgust,prob_fear,prob_joy,prob_sadness,prob_trust,Emotion_Score,Wellbeing_Label
5,2,1,3,ngerjain hal yang aku suka bikin waktu cepet banget berlalu,0.146282,0.111395,0.080793,0.069047,0.127356,0.388461,0.076666,0.3182,Low
2,1,1,5,"hari ini fun banget, belajar sambil ketawa-ketawa sama temen",0.038524,0.045537,0.056991,0.053164,0.535817,0.227158,0.042809,0.6823,Low
7,2,2,3,hari ini terasa panjang tapi ya udah dijalanin aja,0.032161,0.026092,0.028231,0.034988,0.032926,0.811428,0.034173,0.0561,Medium
5,3,2,4,"reconnect sama passion lama hari ini, bikin semangat lagi",0.116698,0.105763,0.061128,0.054515,0.17821,0.413828,0.069858,0.3635,Low
3,4,5,2,"ngerjain kewajiban, setelah itu ya sudah lah",0.016939,0.013125,0.025118,0.015605,0.018071,0.896715,0.014427,0.0,High
9,5,4,1,"ngerasa sendiri padahal dikelilingin banyak orang, aneh banget",0.026757,0.019572,0.045552,0.034192,0.025676,0.829671,0.01858,0.0215,High
9,1,1,5,"ketemu temen lama, ngobrol sampe lupa waktu deh",0.020503,0.028033,0.050765,0.028087,0.033997,0.816242,0.022373,0.0457,Medium
5,1,2,3,alhamdulillah hari ini lancar banget ga ada hambatan,0.041489,0.035004,0.063993,0.043882,0.079221,0.668069,0.068343,0.1615,Medium
12,5,4,1,"overwhelmed banget, kepala udah penuh mau meledak rasanya",0.246342,0.151577,0.219863,0.04572,0.037869,0.236265,0.062364,0.2432,Low
3,5,5,1,pengen kabur dari semua tanggung jawab ini sesaat aja,0.026094,0.029023,0.022403,0.032017,0.020122,0.850805,0.019535,0.0272,High
4,2,1,5,dapet feedback positif yang bikin makin yakin sama diri sendiri,0.087596,0.129241,0.103149,0.049472,0.23601,0.313175,0.081357,0.4729,Low
6,2,1,4,"reconnect sama passion lama hari ini, bikin semangat lagi",0.116698,0.105763,0.061128,0.054515,0.17821,0.413828,0.069858,0.3635,Low
9,4,5,2,"cape hati, bukan cape badan — itu yang paling melelahkan",0.043033,0.043682,0.029603,0.02265,0.019028,0.823803,0.018201,0.0416,High
9,1,2,3,"hari ini berasa ringan banget, kayak abis lepas beban",0.063393,0.024427,0.042557,0.041492,0.035056,0.758798,0.034277,0.0568,Medium
4,4,3,1,"semua hal kerasa berat dan susah hari ini, capek",0.035852,0.03714,0.034635,0.043225,0.019383,0.798268,0.031497,0.05,Medium
7,1,2,5,"mood on fire dari pagi, semua kerasa ringan",0.08791,0.08537,0.064207,0.057291,0.062344,0.584228,0.058651,0.1896,Low
7,5,4,1,"anxious dari pagi, banyak hal yang bikin khawatir",0.058295,0.029452,0.057658,0.729715,0.021097,0.083853,0.01993,0.0293,High
9,3,2,3,"lumayan lah, ada naik turunnya tapi masih oke",0.02289,0.020017,0.040444,0.028485,0.021452,0.840329,0.026383,0.0262,High
12,5,4,3,tugas beres tapi gak ngerasa puas atau kecewa,0.045286,0.019922,0.042915,0.02652,0.030417,0.811583,0.023356,0.0331,High
6,2,3,3,"ngerjain kewajiban, setelah itu ya sudah lah",0.016939,0.013125,0.025118,0.015605,0.018071,0.896715,0.014427,0.0,High
6,5,5,1,"semua orang kayak nyebelin hari ini, atau mungkin aku yang sensitif",0.018107,0.025364,0.037677,0.023377,0.015985,0.864621,0.014869,0.0125,High
7,1,1,5,seneng bgt dapet nilai bagus pas ujian tadi,0.072331,0.047316,0.09944,0.080541,0.371034,0.27263,0.056708,0.5064,Low
3,2,2,3,"happy banget hari ini, banyak hal baik terjadi",0.140631,0.059319,0.056978,0.076419,0.401344,0.152741,0.112568,0.6222,Low
7,2,2,3,"lunch enak, cuaca oke, tugas beres — hari sempurna",0.079758,0.046123,0.10696,0.031587,0.567739,0.09656,0.071272,0.7542,Low
6,1,2,5,semangat banget ngerjain tugas karena topiknya menarik bgt,0.12655,0.198191,0.053599,0.088813,0.342172,0.095633,0.095041,0.6955,Low
4,2,1,4,"ketemu temen lama, ngobrol sampe lupa waktu deh",0.020503,0.028033,0.050765,0.028087,0.033997,0.816242,0.022373,0.0457,Medium
10,4,5,1,"capek banget, tugas numpuk kayak ga ada habisnya",0.052521,0.029559,0.03967,0.03292,0.021333,0.795396,0.028601,0.0399,High
9,2,2,4,ngerjain hal yang aku suka bikin waktu cepet banget berlalu,0.146282,0.111395,0.080793,0.069047,0.127356,0.388461,0.076666,0.3182,Low
12,3,3,3,"gak banyak ngomong hari ini, lebih banyak mikir sendiri",0.038187,0.036325,0.029808,0.026486,0.028819,0.811945,0.02843,0.0565,Medium
4,3,2,5,pagi tadi olahraga dulu jadinya badan enak banget,0.064703,0.120223,0.245258,0.088421,0.14077,0.241907,0.098718,0.3704,Low
7,5,5,1,"susah fokus banget, pikiran lari kemana-mana terus",0.04997,0.043851,0.03575,0.052471,0.021367,0.765149,0.031442,0.0602,Medium
9,4,3,1,"overwhelmed banget, kepala udah penuh mau meledak rasanya",0.246342,0.151577,0.219863,0.04572,0.037869,0.236265,0.062364,0.2432,Low
7,5,5,1,"badan oke tapi hati hancur, ga tau kenapa juga",0.03125,0.02775,0.061065,0.039356,0.027856,0.788237,0.024486,0.0406,High
8,3,3,2,"half-half hari ini, sebagian menyenangkan sebagian meh",0.056628,0.044274,0.054233,0.032581,0.17105,0.569,0.072233,0.2853,Low
3,2,3,3,"hari ini ngalir, gak ada yang perlu dilebih-lebihkan",0.025762,0.023962,0.022535,0.024928,0.021732,0.854903,0.026178,0.031,High
6,5,5,2,"capek banget, tugas numpuk kayak ga ada habisnya",0.052521,0.029559,0.03967,0.03292,0.021333,0.795396,0.028601,0.0399,High
10,1,1,4,"hari ini fun banget, belajar sambil ketawa-ketawa sama temen",0.038524,0.045537,0.056991,0.053164,0.535817,0.227158,0.042809,0.6823,Low
5,3,2,3,"ya jalani aja, toh besok juga bakal ada hari baru",0.028164,0.798859,0.037111,0.031221,0.022916,0.037848,0.043881,0.967,Low
3,4,4,2,"semua hal kerasa berat dan susah hari ini, capek",0.035852,0.03714,0.034635,0.043225,0.019383,0.798268,0.031497,0.05,Medium
8,5,4,1,"rasanya pengen pause semuanya, istirahat total dari dunia",0.016139,0.042614,0.022698,0.019476,0.023522,0.859541,0.016009,0.0431,High
7,4,3,4,"hari ini ngalir, gak ada yang perlu dilebih-lebihkan",0.025762,0.023962,0.022535,0.024928,0.021732,0.854903,0.026178,0.031,High
8,3,4,3,"kesal sama diri sendiri, harusnya bisa lebih baik dari ini",0.877257,0.027499,0.019537,0.019573,0.020674,0.024595,0.010866,0.0158,High
