normalize_text,emotion,source,skor
setiap kata dan tindakanmu membuktikan betapa besarnya rasa percayaku padamu,trust,huggingface,
tidak habis pikir kenapa buku ini lebih fokus pada halhal kecil daripada alur besar cerita,anger,huggingface,
setiap sudut rumah ini selalu mengingatkan aku padanya,sadness,huggingface,
aku takut gagal dan kehilangan semua yang aku miliki,fear,huggingface,
rasa takut ini membuatku merasa seperti aku selalu terjebak dalam lingkaran kegagalan,fear,huggingface,
seringkali rasa takut bikin aku ragu buat ambil keputusan penting,fear,huggingface,
rasanya kosong banget sejak kehilangan dia gak tau harus bagaimana,sadness,huggingface,
aku jijik banget lihat orang buang sampah di sungai tidak punya kesadaran lingkungan,disgust,huggingface,
tidak tahan lagi karena barang ini sama sekali tidak memenuhi ekspektasi,anger,huggingface,
kejamnya dunia ini bikin aku kehilangan kepercayaan pada kebaikan,sadness,huggingface,
aku merasa bahagia karena bisa berbagi kebahagiaan dengan orang lain,joy,huggingface,
aku gak tau kapan bisa sembuh dari rasa kehilangan ini,sadness,huggingface,
tidak sabar buat ikut kelas yoga minggu depan,anticipation,huggingface,
aku takut bahwa semua ini tidak akan pernah menjadi lebih baik,fear,huggingface,
bahagia itu ketika bisa merasakan kedamaian meski sedang menghadapi banyak tantangan,joy,huggingface,
marah banget karena alat hobiku rusak padahal baru aja beli,anger,huggingface,
rasa takut bikin aku sering mikir terlalu jauh ke depan sampai lupa nikmatin yang ada sekarang,fear,huggingface,
rasanya frustasi karena dunia ini penuh dengan ketidakpedulian dan egoisme,anger,huggingface,
rasa takut ini terus menghantui setiap hari tidak bisa merasa tenang,fear,huggingface,
hidup ini berat ketika kamu merasa gak ada yang benarbenar sayang sama kamu,sadness,huggingface,
aku merasa sangat bahagia karena bisa menyelesaikan semua tugas hari ini,joy,huggingface,
aku merasa sangat takut setiap kali harus membuat keputusan besar dalam hidup,fear,huggingface,
marah banget karena keinginan ini seperti tidak pernah bisa dicapai meskipun udah dekat,anger,huggingface,
rasa takut ini membuatku merasa seperti semua hal yang baik akan hilang,fear,huggingface,
marah banget karena hidup ini selalu memberi tantangan yang lebih dari kemampuanku,anger,huggingface,
lihat orang buang air kecil sembarangan,disgust,huggingface,
aku yakin kita akan menemukan jalan terbaik untuk hubungan ini,trust,huggingface,
kehilangan sesuatu yang selalu ada di hidupmu itu bikin hidup terasa kosong,sadness,huggingface,
marah banget karena barang yang aku beli tidak sesuai deskripsi di website,anger,huggingface,
rasanya ingin cepat lihat hasil dari usaha yang aku lakukan,anticipation,huggingface,
gugup banget nunggu event cosplay besar minggu depan,anticipation,huggingface,
rasa takut ini seperti bayangan yang terus mengikuti ke mana pun aku pergi,fear,huggingface,
semoga kabar baik datang hari ini nunggu promosi bikin gugup,anticipation,huggingface,
aku tidak paham kenapa ada orang yang bisa tidur di tempat yang super kotor,disgust,huggingface,
aku yakin kita akan mencapai semua impian kita karena saling percaya,trust,huggingface,
lingkungan yang penuh dengan sampah membuatku merasa sangat jijik,disgust,huggingface,
aku merasa takut setiap kali harus menghadapi halhal yang tidak aku ketahui,fear,huggingface,
kesel banget lihat orang yang tidak peduli sama kesulitan orang lain,anger,huggingface,
takut kalau ternyata aku tidak cukup baik buat orangorang di sekitarku,fear,huggingface,
aku merasa sangat bahagia bisa menyelesaikan proyek yang aku kerjakan dengan baik,joy,huggingface,
tidak ada yang bisa menggantikan rasa percaya ini aku yakin sepenuhnya padamu,trust,huggingface,
rasanya bahagia bisa makan makanan manis setelah sekian lama menahan diri,joy,huggingface,
marah banget karena dunia ini seolaholah tidak peduli dengan keadilan dan kebenaran,anger,huggingface,
marah banget karena alur cerita bukunya lambat dan ngebosenin,anger,huggingface,
takut kalau nanti aku nyesel karena tidak berani ambil kesempatan yang ada,fear,huggingface,
aku percaya kamu akan selalu ada saat aku membutuhkanmu,trust,huggingface,
kerja keras tiap hari tapi uang tetap aja gak cukup buat kebutuhan seharihari,sadness,huggingface,
pikiranku terus ke dia rasanya ingin cepat ngelewatin waktu ini bareng,anticipation,huggingface,
aku takut bahwa aku akan kecewa dengan semua yang terjadi,fear,huggingface,
