normalize_text,skor,label_single
emang depresi itu harus diketahuii secara teknisss,0.755928946,Sadness
aku banget lagi gejalanya depresi itu sebulan aku gitu lebih lagi,0.603022689,Sadness
rasa sedih ada stage grief denial barginning anger depresi acceptance,1.264911064,Sadness
apakah masuk depresi ketika saya sudah tidak merasakan perasaan bahagia atau sedih atau kesel bahkan untuk hal hal kecil termasuk saat momen penting yaitu pernikahan dan kelahiran anak semuanya dilewati begitu saja,0.707106781,Anger
psikiater kalau stres kosultasi kediri sendiri atau pergi ke psikiater lain ya,0.577350269,Sadness
psikiater kalau stres ngomong sendiri atau pergi ke psikiater juga ya,0.603022689,Sadness
kesehatan mental itu bisa dirasakan dari janin dan kesehatan fisik memengaruhi kesehatan mental jadi kurang gizi bisa bikin gangguan mental,0.670820393,Sadness
ternyata aku ngalamin depresi bahkan berbulan bulan,0.755928946,Sadness
saya lagi difase gangguan depresi merasa terhibur sama dokter nya cara bicaranya lucu,0.554700196,Joy
tahun terakhir kadang terpaksa minum obat tidur demi bisa ngantor meeting business travel sembuh dari sinus tapi pasangan saya bukan pendengar sebaik sahabat2 kerjaan juga sulit cari dan terpaksa berhenti beribadah berusaha sudah tapi kadang masih sisaan tidur ya anxiety ringan depresi ringan,0.609994281,Fear
dan sekarang saya liat niih podcast karena lagi stres,0.666666667,Sadness
kalau stres mengasuh anak brati tidak sabar sama anak sendiri,0.632455532,Sadness
sedih ketika tubuh punya kekurangan semoga di temui orang positif dan di jauhi ganguan jiwa,0.516397779,Anticipation
jika tanda depresi ada tapi tidak mau berobat apa akan berpengaruh buruk,0.577350269,Sadness
saya depresi kaya flet aja tidak bisa ngerasain apa apa,0.632455532,Sadness
intersting take saya ada background teknik yang menarik adalah correlation adalah tidak causation apakah   obesitas mengakibatkan depresi   ataukah   obesitas berhubungan dengan depresi   itu adalah pernyataan yang sangat berbeda mungkinkah ada lost ini translation,0.657595949,Sadness
bagaimana cara menyembuhkan depresi dari duka yang mendalam,0.707106781,Sadness
podcast ini jadi buat aku ingat sama drakor daily dose of sunshine yang mana dia seorang perawat rumah sakit jiwa yang akhirnya perawatnya kena penyakit mental atau gangguan kecemasan dan setres sampai mau mati depresi banyak banget yang di bahas tentang skizofernia bipolar gangguan kecemasan depresi dan masih banyak lagi drama nya bagus banget dan menang di blue dragon,0.650944555,Fear
bapaku dari didiagnosa psikiater depresi dan cemas berobatnya ke rsk dharmawangsa bulan kmrn kena psikosomatik ngerasa sakit berat katanya rasanya punggungnya dingin selalu selimutan kemana mana pakai jaket selalu ngeluh aduh aduh akhirnya mcu hasilnya baik semua akhirnya kontrol ke rsk dharmawangsa ke ternyata depresi sama cemasnya lagi kambuh terus obatnya ditambahin sekarang alhamdulillah psikomatiknya udah sembuh depresi dan cemasnya masih minum obatnya dari sekarang,0.992277877,Fear
dokter evelyn ini enak banget ngobrolnya pengin diskusi karena w pernah depresi alhamdulillah udah balik pas depresi emang saya kehilangan minat hidup makanya pas saya udah sembuh senang makan saya bersyukur karena pas depresi males makan wkwkw,0.986393924,Joy
aku kalau lagi cemas atau panik lompat lompat sambil nangis wkwkwkwwk,0.603022689,Fear
diagnosa depresi ujung nya bipolar diagnosa nya sampai saat ini masih minum obat,0.554700196,Sadness
cemas berlebih saat tanggal tua itu apakah termasuk gangguan ya bang,0.603022689,Fear
belum tentu orang depresi terlihat depresi mgkn styp orang pny kecenderungan npd tapi levelny beda2 x iya,0.9701425,Sadness
aku kena gerd kalau kambuh sama paniknya juga padahal pola makan udah aman dan memghindari makanan yang dilarang tapi tetap kambuh ternyata stres pemicunya tidak nyangka stres sebahaya ini,0.742781353,Fear
taukah kalian dokter ini pada masa sekolahnya dulu sering melakukan pembullian dan menyebabkan depresi,0.534522484,Sadness
jadi inget masa2 suram tahun depresi parah tidak keluar rumah,0.632455532,Sadness
depresi biasanya terlihat bahagia perhatiin aja foto foto tokoh dunia yang depresi,1.154700538,Joy
saya kerja di luar negeri depresi gara2 patner kerja indonesianya kerja tidak bener nyalah nyalahin egois,1.25,Sadness
reaksi stres akut tahap stres denial anger marah bargaining nawar depresi acceptance,1.732050808,Anger
dok aku dilarang sama ibu untuk main ff sekarang lagi depresi berat,0.577350269,Sadness
penasaran ini bang radit lagi stres mikirin masalah apa wkwk,0.632455532,Anticipation
ekspresi sedih bang radit karena lebih tua,0.755928946,Sadness
alhamdulillah beruntung banget walau sudah 4tahun ini saya mengalami stres akut n depresi serta tidak punya teman setidaknya saya masih bisa hidup sampai detik ini walau jujur tiap hari pengennya cuma mati,0.707106781,Joy
fyi skizofrenia adalah gangguan mental berat yang dapat memengaruhi tingkah laku emosi dan komunikasi,0.534522484,Sadness
pas banget lagi stres hehehe,0.894427191,Sadness
aku merasa aneh bilang semangat tapi aku yang kaya depresi,0.632455532,Sadness
aku termasuk orang yang depresi,0.894427191,Sadness
depresi adalah penyakit medis ingat itu,0.816496581,Sadness
kalau sadar punya pwnyakit depresi apakah bisa mengubah diri sendiri,0.632455532,Sadness
aku sudah hampir tahun minum obat dari psikiater kata dokter aku terkena depresi semangatt buat kaliann,0.5,Sadness
depresi banyak orang gausah sedih kamu tidak sendiri harus ditemani jangan dihakimi dan dijauhi,1.069044968,Sadness
aku udah depresi hampir setahun te tapi aku tetap semangat,0.632455532,Sadness
aku semenjak sama punya sakit depresi,0.816496581,Sadness
depresi karena nganggur ingin rasa nya mengakhiri hidup,0.707106781,Anticipation
saya sering depresi di sekolah tapi aku tidak pernah ngomong,0.632455532,Sadness
mau tanya nih bos depresi bisa kena cemas,1.414213562,Fear
saya adalah oraang depresi yang di sebabkan salah satu keluarga saya deprese,0.577350269,Sadness
hai aku penyintas depresi episode rasanya berat semoga kita semua sehat selalu baik fisik maupun mental buat teman teman yang sehat tolong jangn terlalu menyepelekan kesehatan mental dan jika kalian tidak bisa memberi solusi mohon jangan membandingkan dan menghakimi,0.640512615,Anticipation
aku tahun tapi selalu di bully jadi depresi terkena penyakit anxiety,0.603022689,Fear
aku depresi gara gara nenek aku mati,0.755928946,Disgust
doakan saya kawam saya didiagnosa depresi sedang semoga kalian diluar sana yang sedang berjuang diberkian kesembuhan,0.5,Anticipation
