normalize_text;teks_no_stop;teks_final;label;label_id
setiap kata dan tindakanmu membuktikan betapa besarnya rasa percayaku padamu;kata tindakanmu membuktikan betapa besarnya rasa percayaku padamu;kata tindak bukti betapa besar rasa percaya pada;trust;6
tidak habis pikir kenapa buku ini lebih fokus pada halhal kecil daripada alur besar cerita;habis pikir buku lebih fokus halhal kecil alur besar cerita;habis pikir buku lebih fokus halhal kecil alur besar cerita;anger;0
setiap sudut rumah ini selalu mengingatkan aku padanya;sudut rumah selalu mengingatkan aku padanya;sudut rumah selalu ingat aku pada;sadness;5
aku takut gagal dan kehilangan semua yang aku miliki;aku takut gagal kehilangan semua aku miliki;aku takut gagal hilang semua aku milik;fear;3
rasa takut ini membuatku merasa seperti aku selalu terjebak dalam lingkaran kegagalan;rasa takut membuatku merasa aku selalu terjebak lingkaran kegagalan;rasa takut buat rasa aku selalu jebak lingkar gagal;fear;3
seringkali rasa takut bikin aku ragu buat ambil keputusan penting;seringkali rasa takut membuat aku ragu buat ambil keputusan penting;seringkali rasa takut buat aku ragu buat ambil putus penting;fear;3
rasanya kosong banget sejak kehilangan dia gak tau harus bagaimana;rasanya kosong banget sejak kehilangan tidak tau bagaimana;rasa kosong banget sejak hilang tidak tau bagaimana;sadness;5
aku jijik banget lihat orang buang sampah di sungai tidak punya kesadaran lingkungan;aku jijik banget lihat orang buang sampah sungai punya kesadaran lingkungan;aku jijik banget lihat orang buang sampah sungai punya sadar lingkung;disgust;2
tidak tahan lagi karena barang ini sama sekali tidak memenuhi ekspektasi;tahan karena barang sama sekali memenuhi ekspektasi;tahan karena barang sama sekali penuh ekspektasi;anger;0
kejamnya dunia ini bikin aku kehilangan kepercayaan pada kebaikan;kejamnya dunia membuat aku kehilangan kepercayaan kebaikan;kejam dunia buat aku hilang percaya baik;sadness;5
aku merasa bahagia karena bisa berbagi kebahagiaan dengan orang lain;aku merasa bahagia bisa berbagi kebahagiaan orang;aku rasa bahagia bisa bagi bahagia orang;joy;4
aku gak tau kapan bisa sembuh dari rasa kehilangan ini;aku tau kapan sembuh rasa kehilangan;aku tau kapan sembuh rasa hilang;sadness;5
tidak sabar buat ikut kelas yoga minggu depan;sabar buat ikut kelas yoga minggu depan;sabar buat ikut kelas yoga minggu depan;anticipation;1
aku takut bahwa semua ini tidak akan pernah menjadi lebih baik;aku takut semua tidak pernah menjadi lebih baik;aku takut semua tidak pernah jadi lebih baik;fear;3
bahagia itu ketika bisa merasakan kedamaian meski sedang menghadapi banyak tantangan;bahagia ketika merasakan kedamaian meski sedang menghadapi banyak tantangan;bahagia ketika rasa damai meski sedang hadap banyak tantang;joy;4
marah banget karena alat hobiku rusak padahal baru aja beli;marah banget alat hobiku rusak padahal baru aja beli;marah banget alat hobi rusak padahal baru aja beli;anger;0
rasa takut bikin aku sering mikir terlalu jauh ke depan sampai lupa nikmatin yang ada sekarang;rasa takut membuat aku sering mikir terlalu jauh depan lupa nikmatin ada sekarang;rasa takut buat aku sering mikir terlalu jauh depan lupa nikmatin ada sekarang;fear;3
rasanya frustasi karena dunia ini penuh dengan ketidakpedulian dan egoisme;rasanya frustasi dunia penuh ketidakpedulian egoisme;rasa frustasi dunia penuh ketidakpedulian egoisme;anger;0
rasa takut ini terus menghantui setiap hari tidak bisa merasa tenang;rasa takut terus menghantui hari bisa merasa tenang;rasa takut terus hantu hari bisa rasa tenang;fear;3
hidup ini berat ketika kamu merasa gak ada yang benarbenar sayang sama kamu;hidup berat kamu merasa ada benarbenar sayang sama kamu;hidup berat kamu rasa ada benarbenar sayang sama kamu;sadness;5
aku merasa sangat bahagia karena bisa menyelesaikan semua tugas hari ini;aku merasa sangat bahagia bisa menyelesaikan semua tugas hari;aku rasa sangat bahagia bisa selesai semua tugas hari;joy;4
aku merasa sangat takut setiap kali harus membuat keputusan besar dalam hidup;aku merasa sangat takut kali membuat keputusan besar hidup;aku rasa sangat takut kali buat putus besar hidup;fear;3
marah banget karena keinginan ini seperti tidak pernah bisa dicapai meskipun udah dekat;marah banget keinginan seperti pernah dicapai meskipun dekat;marah banget ingin seperti pernah capai meski dekat;anger;0
rasa takut ini membuatku merasa seperti semua hal yang baik akan hilang;rasa takut membuatku merasa semua yang baik hilang;rasa takut buat rasa semua yang baik hilang;fear;3
marah banget karena hidup ini selalu memberi tantangan yang lebih dari kemampuanku;marah banget hidup selalu memberi tantangan lebih kemampuanku;marah banget hidup selalu beri tantang lebih mampu;anger;0
lihat orang buang air kecil sembarangan;lihat orang buang air kecil sembarangan;lihat orang buang air kecil sembarang;disgust;2
aku yakin kita akan menemukan jalan terbaik untuk hubungan ini;aku yakin akan menemukan jalan terbaik hubungan;aku yakin akan temu jalan baik hubung;trust;6
kehilangan sesuatu yang selalu ada di hidupmu itu bikin hidup terasa kosong;kehilangan yang selalu di hidupmu membuat hidup terasa kosong;hilang yang selalu di hidup buat hidup asa kosong;sadness;5
marah banget karena barang yang aku beli tidak sesuai deskripsi di website;marah banget barang aku beli sesuai deskripsi website;marah banget barang aku beli sesuai deskripsi website;anger;0
rasanya ingin cepat lihat hasil dari usaha yang aku lakukan;rasanya cepat lihat hasil usaha aku lakukan;rasa cepat lihat hasil usaha aku laku;anticipation;1
gugup banget nunggu event cosplay besar minggu depan;gugup banget nunggu event cosplay besar minggu depan;gugup banget nunggu event cosplay besar minggu depan;anticipation;1
rasa takut ini seperti bayangan yang terus mengikuti ke mana pun aku pergi;rasa takut seperti bayangan terus mengikuti mana aku pergi;rasa takut seperti bayang terus ikut mana aku pergi;fear;3
semoga kabar baik datang hari ini nunggu promosi bikin gugup;semoga kabar baik datang hari nunggu promosi membuat gugup;moga kabar baik datang hari nunggu promosi buat gugup;anticipation;1
aku tidak paham kenapa ada orang yang bisa tidur di tempat yang super kotor;aku paham ada orang bisa tidur tempat super kotor;aku paham ada orang bisa tidur tempat super kotor;disgust;2
aku yakin kita akan mencapai semua impian kita karena saling percaya;aku yakin akan mencapai semua impian karena saling percaya;aku yakin akan capai semua impi karena saling percaya;trust;6
lingkungan yang penuh dengan sampah membuatku merasa sangat jijik;lingkungan penuh sampah membuatku merasa sangat jijik;lingkung penuh sampah buat rasa sangat jijik;disgust;2
aku merasa takut setiap kali harus menghadapi halhal yang tidak aku ketahui;aku merasa takut kali menghadapi halhal tidak aku ketahui;aku rasa takut kali hadap halhal tidak aku tahu;fear;3
kesel banget lihat orang yang tidak peduli sama kesulitan orang lain;kesel banget lihat orang tidak peduli sama kesulitan orang;kesel banget lihat orang tidak peduli sama sulit orang;anger;0
takut kalau ternyata aku tidak cukup baik buat orangorang di sekitarku;takut kalau ternyata aku cukup baik buat orangorang sekitarku;takut kalau nyata aku cukup baik buat orangorang sekitar;fear;3
aku merasa sangat bahagia bisa menyelesaikan proyek yang aku kerjakan dengan baik;aku merasa sangat bahagia menyelesaikan proyek aku kerjakan baik;aku rasa sangat bahagia selesai proyek aku kerja baik;joy;4
tidak ada yang bisa menggantikan rasa percaya ini aku yakin sepenuhnya padamu;ada bisa menggantikan rasa percaya aku yakin sepenuhnya padamu;ada bisa ganti rasa percaya aku yakin sepenuh pada;trust;6
rasanya bahagia bisa makan makanan manis setelah sekian lama menahan diri;rasanya bahagia makan makanan manis sekian lama menahan diri;rasa bahagia makan makan manis sekian lama tahan diri;joy;4
marah banget karena dunia ini seolaholah tidak peduli dengan keadilan dan kebenaran;marah banget dunia seolaholah peduli keadilan kebenaran;marah banget dunia seolaholah peduli adil benar;anger;0
marah banget karena alur cerita bukunya lambat dan ngebosenin;marah banget alur cerita bukunya lambat ngebosenin;marah banget alur cerita buku lambat ngebosenin;anger;0
takut kalau nanti aku nyesel karena tidak berani ambil kesempatan yang ada;takut kalau aku nyesel tidak berani ambil kesempatan ada;takut kalau aku nyesel tidak berani ambil sempat ada;fear;3
aku percaya kamu akan selalu ada saat aku membutuhkanmu;aku percaya kamu selalu saat aku membutuhkanmu;aku percaya kamu selalu saat aku butuh;trust;6
kerja keras tiap hari tapi uang tetap aja gak cukup buat kebutuhan seharihari;kerja keras tiap hari uang tetap aja cukup buat kebutuhan seharihari;kerja keras tiap hari uang tetap aja cukup buat butuh seharihari;sadness;5
pikiranku terus ke dia rasanya ingin cepat ngelewatin waktu ini bareng;pikiranku terus dia rasanya cepat ngelewatin waktu bareng;pikir terus dia rasa cepat ngelewatin waktu bareng;anticipation;1
aku takut bahwa aku akan kecewa dengan semua yang terjadi;aku takut aku kecewa semua terjadi;aku takut aku kecewa semua jadi;fear;3
aku percaya bahwa kita bisa saling mendukung dalam setiap langkah;aku percaya kita saling mendukung setiap langkah;aku percaya kita saling dukung tiap langkah;trust;6
kesel maksimal biaya hidup makin tinggi tapi gaji tidak naiknaik;kesel maksimal biaya hidup makin tinggi gaji naiknaik;kesel maksimal biaya hidup makin tinggi gaji naiknaik;anger;0
rasanya ingin segera mulai ibadah yang khusus di hari suci nanti;rasanya segera mulai ibadah khusus hari suci;rasa segera mulai ibadah khusus hari suci;anticipation;1
gugup tiap kali mikirin betapa spesialnya hari suci yang akan datang;gugup tiap kali mikirin betapa spesialnya hari suci akan datang;gugup tiap kali mikirin betapa spesial hari suci akan datang;anticipation;1
marah banget karena buku ini tidak ada penyelesaian untuk semua konflik yang dibangun;marah banget buku tidak penyelesaian semua konflik dibangun;marah banget buku tidak selesai semua konflik bangun;anger;0
berhasil menyelesaikan laporan kerja bikin hatiku tenang dan bahagia;berhasil menyelesaikan laporan kerja membuat hatiku tenang bahagia;hasil selesai lapor kerja buat hati tenang bahagia;joy;4
aku percaya kita akan terus bersatu meski ada rintangan;aku percaya akan terus bersatu meski rintangan;aku percaya akan terus satu meski rintang;trust;6
aku takut kalau aku tidak akan pernah bisa menemukan jalan yang benar dalam hidupku;aku takut kalau aku akan pernah menemukan jalan benar hidupku;aku takut kalau aku akan pernah temu jalan benar hidup;fear;3
aku bahagia karena bisa merasakan kehangatan dari sinar matahari pagi;aku bahagia bisa merasakan kehangatan sinar matahari pagi;aku bahagia bisa rasa hangat sinar matahari pagi;joy;4
